Unique ID,feature_name,Honorees,City,County,State,Side,Coordinates,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status
5135,gdsgfg,,dfgdsfg,sdgff,AK,Border,",",Body of Water,Buildings,Unknown,1950,,Active
5105,Vance Hall at University of North Carolina at Asheville,,Asheville,Buncombe,NC,,"35.616360,-82.568097",College,Buildings,,,,Live
5119,Williamson County Seal,,Franklin,Williamson,TN,,"35.924562,-86.868435",Seal,Flags,,1968,,Live
5089,Confederate Drive,,Caledonia,Lowndes,MS,Not Applicable,"33.679960,-88.329389",Highway / Roadway,Roads,,1986,,Live
223,Confederate Oak,No specific honoree,Port Orange,Volusia,FL,South,"29.141516,-81.006682",Other,Parks/Trails,Uknown,,,Live
187,Robert Lee Road,Robert E. Lee,St. Cloud,Osceola,FL,South,"28.194564,-81.173562",Highway / Roadway,Roads,Uknown,,,Live
2104,Stonewall Jackson Memorial Highway Marker,"Thomas Jonathan ""Stonewall"" Jackson",St. Petersburg,Pinellas,FL,South,"30.411733,-83.911133",Marker,Monument,United Daughters of the Confederacy,1940,,Live
180,Bradford County,Richard Bradford,Starke,Bradford,FL,South,"29.961379,-82.150070",County/Municipality,County/Municipality,Uknown,1861,,Live
2139,A.H. Stephens State Park,Alexander Stephens,Crawfordville,Taliaferro,GA,South,"33.557817,-82.895317",Park,Parks/Trails,Uknown,,,Live
369,Confederate Monument,No specific honoree,Crawfordville,Taliaferro,GA,South,"33.554467,-82.896633",Monument,Courthouse Grounds,United Daughters of the Confederacy,1898,,Live
2070,Jefferson Davis Highway Marker,Jefferson Davis,Crawfordville,Taliaferro,GA,South,"33.554283,-82.896333",Monument,Courthouse Grounds,United Daughters of the Confederacy,,,Live
370,Confederate Veterans Monument,No specific honoree,Cusseta,Chattahoochee,GA,South,"32.306117,-84.776667",Monument,Courthouse Grounds,United Daughters of the Confederacy,,,Live
327,Randolph County Confederate Monument,No specific honoree,Cuthbert,Randolph,GA,South,"31.771330,-84.789311",Monument,Monument,United Daughters of the Confederacy,1910,,Live
291,Confederate Avenue,No specific honoree,Dallas,Paulding,GA,South,"33.927032,-84.842543",Highway / Roadway,Roads,Uknown,,,Live
2223,The War Between the States Sesquicentennial Monument,No specific honoree,Dallas,Paulding,GA,South,"33.921083,-84.839367",Monument,Monument,Sons of Confederate Veterans,2012,,Live
1862,Joseph E. Johnston Statue,Joseph Eggleston Johnston,Dalton,Whitfield,GA,South,"34.771523,-84.968101",Monument,Monument,United Daughters of the Confederacy,1912,,Live
2061,Confederate Gun Shop Monument,No specific honoree,Dawson,Terrell,GA,South,"31.773333,-84.445550",Monument,Courthouse Grounds,United Daughters of the Confederacy; Works Progress Administration,1936,,Live
386,Confederate Monument,No specific honoree,Monroe,Walton,GA,South,"33.794634,-83.712844",Monument,Courthouse Grounds,surviving Confederate veterans; Ladies Memorial Association,1907,,Live
347,Macon County Confederate Monument,No specific honoree,Montezuma,Macon,GA,South,"32.305810,-84.027518",Monument,Monument,United Daughters of the Confederacy,1911,,Live
348,Jasper County Confederate Monument,No specific honoree,Monticello,Jasper,GA,South,"33.304413,-83.684084",Monument,Monument,Uknown,1910,,Live
387,Colquitt County Confederate Monument,No specific honoree,Moultrie,Colquitt,GA,South,"31.179116,-83.788609",Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Live
388,Confederate Monument,No specific honoree,Mount Vernon,Montgomery,GA,South,"32.174190,-82.594663",Monument,Courthouse Grounds,Sons of Confederate Veterans,1997,,Live
2173,Coweta County Georgia Monument,No specific honoree,Newnan,Coweta,GA,South,"33.374780,-84.799748",Monument,Courthouse Grounds,Ladies Memorial Association,1885,,Live
251,General Lee Drive,Robert E. Lee,Newnan,Coweta,GA,South,"33.415197,-84.708576",Highway / Roadway,Roads,Uknown,,,Live
250,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Newnan,Coweta,GA,South,"33.412285,-84.710789",Highway / Roadway,Roads,Uknown,,,Live
389,William Thomas Overby Confederate Hero Monument,William Thomas Overby,Newnan,Coweta,GA,South,"33.374835,-84.800293",Monument,Courthouse Grounds,United Daughters of the Confederacy,1956,,Live
2049,Jefferson Davis Highway Marker,Jefferson Davis,Norwood,Warren,GA,South,"33.462156,-82.706961",Marker,Monument,United Daughters of the Confederacy,,,Live
930,Robert E Lee Street,Robert E. Lee,Orangeburg,Orangeburg,SC,South,"33.477341,-80.858777",Highway / Roadway,Roads,Uknown,,,Live
934,Stonewall Jackson Boulevard,"Thomas Jonathan ""Stonewall"" Jackson",Orangeburg,Orangeburg,SC,South,"33.469807,-80.857892",Highway / Roadway,Roads,Uknown,,,Live
933,Stonewall Jackson Street Southwest,"Thomas Jonathan ""Stonewall"" Jackson",Orangeburg,Orangeburg,SC,South,"33.479783,-80.867005",Highway / Roadway,Roads,Uknown,,,Live
1952,Robert E. Lee Monument,Robert E. Lee,Pickens,Pickens,SC,South,"34.883333,-82.706950",Monument,Courthouse Grounds,Uknown,,,Live
974,Confederate Veterans Monument,No specific honoree,Prosperity,Newberry,SC,South,"34.209350,-81.533217",Monument,Monument,United Daughters of the Confederacy,1928,,Live
1967,Confederate Park,No specific honoree,Rock Hill,York,SC,South,"34.926745,-81.017042",Park,Parks/Trails,Uknown,,,Live
975,Ebenezer Confederate Monument,No specific honoree,Rock Hill,York,SC,South,"34.965900,-81.051900",Monument,Monument,United Daughters of the Confederacy,1908,,Live
3105,Jackson Street,"Thomas Jonathan ""Stonewall"" Jackson",Rock Hill,York,SC,South,"34.927620,-81.016417",Highway / Roadway,Roads,Uknown,,,Live
3106,North Confederate Avenue,No specific honoree,Rock Hill,York,SC,South,"34.927692,-81.018415",Highway / Roadway,Roads,Uknown,,,Live
1162,Cleburne Mural,Patrick Cleburne,Cleburne,Johnson,TX,South,"32.345667,-97.385817",Other,Parks/Trails,Howard Dudley,2009,,Live
1190,Confederate Monument,No specific honoree,Cleburne,Johnson,TX,South,"32.347083,-97.385967",Monument,Courthouse Grounds,United Daughters of the Confederacy,1917,,Live
1095,Johnson County,Middleton T. Johnson,Cleburne,Johnson,TX,South,"32.344706,-97.389435",County/Municipality,County/Municipality,Uknown,1867,,Live
1189,Patrick Cleburne monument,Patrick Cleburne,Cleburne,Johnson,TX,South,"32.346076,-97.389195",Monument,Courthouse Grounds,Buffalo Creek Association,2015,,Live
1122,Beauregard Drive,Pierre Gustave Toutant-Beauregard,Conroe,Montgomery,TX,South,"30.260793,-95.445002",Highway / Roadway,Roads,Uknown,,,Live
1120,Jubal Early Lane,Jubal Anderson Early,Conroe,Montgomery,TX,South,"30.260218,-95.438148",Highway / Roadway,Roads,Uknown,,,Live
1121,Stonewall Jackson Drive,"Thomas Jonathan ""Stonewall"" Jackson",Conroe,Montgomery,TX,South,"30.259143,-95.440530",Highway / Roadway,Roads,Uknown,,,Live
1191,Call to Arms Monument,No specific honoree,Corsicana,Navarro,TX,South,"32.094917,-96.468683",Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Live
1096,Foard County,Robert L. Foard,Crowell,Foard,TX,South,"33.983421,-99.724466",County/Municipality,County/Municipality,Uknown,1891,,Live
1192,General Augustus C. Buchel Monument,Augustus C. Buchel,Cuero,DeWitt,TX,South,"29.092157,-97.288932",Monument,Courthouse Grounds,Dewitt County,1963,,Live
1860,W.H. Gaston Middle School,W.H. Gaston,Dallas,Dallas,TX,South,"32.825458,-96.693365",School,Schools,Uknown,1954,,Live
1302,General Jackson Avenue,"Thomas Jonathan ""Stonewall"" Jackson",Culpeper,Culpeper,VA,South,"38.500244,-78.037918",Highway / Roadway,Roads,Uknown,,,Live
1304,General Jeb Stuart Lane,"James Ewell Brown ""Jeb"" Stuart",Culpeper,Culpeper,VA,South,"38.502015,-78.033841",Highway / Roadway,Roads,Uknown,,,Live
1301,General Lee Avenue,Robert E. Lee,Culpeper,Culpeper,VA,South,"38.497533,-78.037352",Highway / Roadway,Roads,Uknown,,,Live
3148,General Longstreet Avenue,James Longstreet,Culpeper,Culpeper,VA,South,"38.500458,-78.037232",Highway / Roadway,Roads,Uknown,,,Live
1306,General Winder Road,John Henry Winder,Culpeper,Culpeper,VA,South,"38.397732,-78.080158",Highway / Roadway,Roads,Uknown,,,Live
3149,Jackson Street,"Thomas Jonathan ""Stonewall"" Jackson",Culpeper,Culpeper,VA,South,"38.487746,-77.989892",Highway / Roadway,Roads,Uknown,,,Live
1465,Stonewall Jackson Volunteer Fire & Rescue Department,"Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,South,"38.786635,-77.508110",Other,Buildings,Uknown,1969,,Live
1934,Stonewall Road,"Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,South,"38.763032,-77.482102",Highway / Roadway,Roads,Uknown,,,Live
1444,Confederate Monument,No specific honoree,Marion,Smyth,VA,South,"36.832989,-81.519887",Monument,Courthouse Grounds,Uknown,1904,,Live
3166,Jeb Stuart Court,"James Ewell Brown ""Jeb"" Stuart",Martinsville,Henry,VA,South,"36.681609,-79.807713",Highway / Roadway,Roads,Uknown,,,Live
1279,Jeb Stuart Road,"James Ewell Brown ""Jeb"" Stuart",Martinsville,Henry,VA,South,"36.681667,-79.809556",Highway / Roadway,Roads,Uknown,,,Live
1278,Jefferson Davis Drive,Jefferson Davis,Martinsville,Henry,VA,South,"36.669319,-79.799754",Highway / Roadway,Roads,Uknown,,,Live
1445,Our Confederate Soldier,No specific honoree,Mathews,Mathews,VA,South,"37.433700,-76.321700",Monument,Courthouse Grounds,United Daughters of the Confederacy,1912,,Live
1479,Stonewall Jackson Middle School,"Thomas Jonathan ""Stonewall"" Jackson",Mechanicsville,Hanover,VA,South,"37.617775,-77.340833",School,Schools,Uknown,1969,,Live
3165,Stonewall Middle Drive,"Thomas Jonathan ""Stonewall"" Jackson",Mechanicsville,Hanover,VA,South,"37.619252,-77.341857",Highway / Roadway,Roads,Uknown,,,Live
164,Robert E. Lee Elementary School,Robert E. Lee,Springdale,Washington,AR,South,"36.179513,-94.134081",School,Schools,Uknown,1951,,Live
143,Star City Confederate Memorial,No specific honoree,Star City,Lincoln,AR,South,"33.941922,-91.845840",Monument,Monument,United Daughters of the Confederacy,1926,,Live
1991,Albert Pike Recreation Area,Albert Pike,Umpire,Howard,AR,South,"33.941676,-91.845822",Park,Parks/Trails,Uknown,,,Live
154,Van Buren Confederate Monument,No specific honoree,Van Buren,Crawford,AR,South,"35.433967,-94.355548",Monument,Courthouse Grounds,United Daughters of the Confederacy; Sons of the Confederacy,1899,,Live
118,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Wilson,Mississippi,AR,South,"35.573541,-90.044345",Highway / Roadway,Roads,Uknown,,,Live
1950,East Robert E. Lee Street,Robert E. Lee,Phoenix,Maricopa,AZ,Not Applicable,"33.651598,-111.982958",Highway / Roadway,Roads,Uknown,1961,,Live
936,North Stonewall Street,"Thomas Jonathan ""Stonewall"" Jackson",Rock Hill,York,SC,South,"34.922117,-81.017599",Highway / Roadway,Roads,Uknown,,,Live
609,Beauregard Street,Pierre Gustave Toutant-Beauregard,Tupelo,Lee,MS,South,"34.272536,-88.740163",Highway / Roadway,Roads,Uknown,,,Live
3018,Breckinridge Street,John C. Breckinridge,Tupelo,Lee,MS,South,"34.250382,-88.749534",Highway / Roadway,Roads,Uknown,,,Live
3019,Buckner Avenue,Simon Bolivar Buckner,Tupelo,Lee,MS,South,"34.248536,-88.748720",Highway / Roadway,Roads,Uknown,,,Live
607,Confederate Avenue,No specific honoree,Tupelo,Lee,MS,South,"34.250177,-88.750578",Highway / Roadway,Roads,Uknown,,,Live
715,Confederate Monument,No specific honoree,Tupelo,Lee,MS,South,"34.258450,-88.705167",Monument,Courthouse Grounds,United Daughters of the Confederacy; Sons of the Confederacy,1906,,Live
3020,Ewell Avenue,Richard Stoddert Ewell,Tupelo,Lee,MS,South,"34.251831,-88.748977",Highway / Roadway,Roads,Uknown,,,Live
3021,Hampton Avenue,Wade Hampton,Tupelo,Lee,MS,South,"34.247765,-88.748940",Highway / Roadway,Roads,Uknown,,,Live
3022,Hood Avenue,John Bell Hood,Tupelo,Lee,MS,South,"34.249367,-88.749642",Highway / Roadway,Roads,Uknown,,,Live
610,Jeb Stuart Street,"James Ewell Brown ""Jeb"" Stuart",Tupelo,Lee,MS,South,"34.272737,-88.738908",Highway / Roadway,Roads,Uknown,,,Live
603,Lee County,Robert E. Lee,Tupelo,Lee,MS,South,"34.258739,-88.704962",County/Municipality,County/Municipality,Uknown,1866,,Live
1219,Confederate Soldiers Monument,No specific honoree,Austin,Travis,TX,South,"30.273200,-97.740833",Monument,Government Office Grounds,Surviving comrades,1903,,Live
1220,Hood's Texas Brigade Monument,John Bell Hood,Austin,Travis,TX,South,"30.274033,-97.739367",Monument,Government Office Grounds,Reunion Association of Hood's Texas Brigade,1910,,Live
2251,Jefferson Davis Highway Marker,Jefferson Davis,Austin,Travis,TX,South,"30.191450,-97.779633",Monument,Monument,United Daughters of the Confederacy,1931,,Live
1819,John H. Reagan State Office Building,John Henninger Reagan,Austin,Travis,TX,South,"30.276665,-97.740216",Building,Buildings,Uknown,,,Live
1244,Robert E. Lee Elementary School,Robert E. Lee,Eagle Pass,Maverick,TX,South,"28.703877,-100.501343",School,Schools,Uknown,,,Live
3131,Lee Circle,Robert E. Lee,Edinburg,Hidalgo,TX,South,"26.294513,-98.177057",Highway / Roadway,Roads,Uknown,,,Live
1245,Robert E. Lee Elementary School,Robert E. Lee,Edinburg,Hidalgo,TX,South,"26.296758,-98.176272",School,Schools,Uknown,,,Live
1167,Confederate Soldier,No specific honoree,Farmersville,Collin,TX,South,"33.161750,-96.359517",Monument,Monument,United Daughters of the Confederacy,1917,,Live
786,Confederate Soldiers Monument,No specific honoree,Edenton,Chowan,NC,South,"36.057166,-76.609404",Monument,Monument,United Daughters of the Confederacy,1909,,Live
840,Confederate Soldiers Monument,No specific honoree,Elizabeth City,"Pasquotank‎, ‎Camden",NC,South,"36.300323,-76.222069",Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live
787,"Monument to the ""Confederate Grays"" 20th Regiment North Carolina State Troops",No specific honoree,Faison,"Duplin‎, ‎Sampson",NC,South,"35.116570,-78.138050",Monument,Monument,"Sons of Company E., Confederate States of America",1932,,Live
3031,Bragg Boulevard,Braxton Bragg,Fayetteville,Cumberland,NC,South,"35.065012,-78.896938",Highway / Roadway,Roads,Uknown,,,Live
788,Confederate Arsenal,No specific honoree,Fayetteville,Cumberland,NC,South,"35.054317,-78.892333",Monument,Monument,United Daughters of the Confederacy; North Carolina Historical Commission,1928,,Live
3032,Fort Bragg Road,Braxton Bragg,Fayetteville,Cumberland,NC,South,"35.059285,-78.903675",Highway / Roadway,Roads,Uknown,,,Live
737,General Lee Avenue,Robert E. Lee,Fayetteville,Cumberland,NC,South,"35.061489,-78.903364",Highway / Roadway,Roads,Uknown,,,Live
761,Robert E. Lee Drive,Robert E. Lee,Flat Rock,Henderson,NC,South,"35.269183,-82.437057",Highway / Roadway,Roads,Uknown,,,Live
790,Jefferson Davis Monument,Jefferson Davis,Fletcher,Henderson,NC,South,"35.442467,-82.503850",Monument,Monument,United Daughters of the Confederacy,1931,,Live
1908,City of Hubbard,Richard B. Hubbard,Hubbard,Hill,TX,South,"31.846787,-96.795223",City,County/Municipality,Uknown,1881,,Live
1133,Robert E Lee Road,Robert E. Lee,Hunt,Hunt,TX,South,"30.076115,-99.351740",Highway / Roadway,Roads,Uknown,,,Live
1202,Walker County Civil War Monument,No specific honoree,Huntsville,Walker,TX,South,"30.723650,-95.550817",Monument,Courthouse Grounds,United Daughters of the Confederacy,1956,,Live
1135,Jeff Davis Street,Jefferson Davis,Jacksonville,Cherokee,TX,South,"31.981157,-95.261735",Highway / Roadway,Roads,Uknown,,,Live
1203,Confederate Monument,No specific honoree,Jefferson,Marion,TX,South,"32.756607,-94.344234",Monument,Courthouse Grounds,United Confederate Veterans,1907,,Live
1205,Confederate Monument,No specific honoree,Kaufman,Kaufman,TX,South,"32.589317,-96.309583",Monument,Courthouse Grounds,United Confederate Veterans; the people of Kaufman County,1911,,Live
1152,East Winkler Street,Clinton M. Winkler,Kermit,Winkler,TX,South,"31.856319,-103.094652",Highway / Roadway,Roads,Uknown,,,Live
1100,Winkler County,Clinton M. Winkler,Kermit,Winkler,TX,South,"31.857165,-103.093679",County/Municipality,County/Municipality,Uknown,1910,,Live
1150,Confederate Park Road,No specific honoree,Lakeside,Tarrant,TX,South,"32.823054,-97.493223",Highway / Roadway,Roads,Uknown,,,Live
1043,Britton Lane Confederate Monument,No specific honoree,Denmark,Madison,TN,South,"35.490229,-88.957894",Monument,Monument,John Ingram Bivouac,1897,,Live
1064,Weakley County Confederate Monument,No specific honoree,Dresden,Weakley,TN,South,"36.291883,-88.708683",Monument,Courthouse Grounds,Uknown,1915,,Live
1065,Confederate Monument,No specific honoree,Dyersburg,Dyer,TN,South,"36.032618,-89.385934",Monument,Courthouse Grounds,United Confederate Veterans,1905,,Live
1023,Stonewall Jackson Drive,"Thomas Jonathan ""Stonewall"" Jackson",Elizabethton,Carter,TN,South,"36.351793,-82.246399",Highway / Roadway,Roads,Uknown,,,Live
1014,Jeff Davis Drive,Jefferson Davis,Eva,Benton,TN,South,"36.062795,-88.015097",Highway / Roadway,Roads,Uknown,,,Live
